profile_pic,username_num_ratio,fullname_words,fullname_num_ratio,name_equals_username,desc_length,external_url,is_private,posts,followers,follows,fake,fol_ratio,followers_bin
1,0.27,0,0,0,53,0,0,32,1000,955,0,1.047120419,"(500, 1000]"
1,0,2,0,0,44,0,0,286,2740,533,0,5.140712946,"(1000, 5000]"
1,0.1,2,0,0,0,0,1,13,159,98,0,1.62244898,"(100, 200]"
1,0,1,0,0,82,0,0,679,414,651,0,0.6359447,"(200, 500]"
1,0,2,0,0,0,0,1,6,151,126,0,1.198412698,"(100, 200]"
1,0,4,0,0,81,1,0,344,669987,150,0,4466.58,
1,0,2,0,0,50,0,0,16,122,177,0,0.689265537,"(100, 200]"
1,0,2,0,0,0,0,0,33,1078,76,0,14.18421053,"(1000, 5000]"
1,0,0,0,0,71,0,0,72,1824,2713,0,0.672318467,"(1000, 5000]"
1,0,2,0,0,40,1,0,213,12945,813,0,15.92250923,
1,0,2,0,0,54,0,0,648,9884,1173,0,8.42625746,"(5000, 10000]"
1,0,2,0,0,54,1,0,76,1188,365,0,3.254794521,"(1000, 5000]"
1,0,2,0,0,0,1,0,298,945,583,0,1.620926244,"(500, 1000]"
1,0,2,0,0,103,1,0,117,12033,248,0,48.52016129,
1,0,2,0,0,98,1,0,487,1962,2701,0,0.726397631,"(1000, 5000]"
1,0,3,0,0,46,0,0,254,50374,900,0,55.97111111,
1,0,3,0,0,0,0,0,59,7007,289,0,24.24567474,"(5000, 10000]"
1,0.29,3,0,0,48,0,0,1570,1128,694,0,1.625360231,"(1000, 5000]"
1,0,2,0,0,63,1,0,378,34670,1878,0,18.46112886,
1,0,2,0,0,106,1,0,526,2338,776,0,3.012886598,"(1000, 5000]"
1,0,2,0,0,40,0,0,228,3516,999,0,3.51951952,"(1000, 5000]"
1,0,1,0,0,35,1,1,35,1809,416,0,4.348557692,"(1000, 5000]"
1,0,2,0,0,30,0,0,281,427,470,0,0.908510638,"(200, 500]"
1,0,1,0,0,27,0,0,285,759,956,0,0.793933054,"(500, 1000]"
1,0,0,0,0,0,0,0,148,15338538,61,0,251451.4426,
1,0,1,0,0,109,1,1,57,109,179,0,0.608938547,"(100, 200]"
1,0,6,0,0,0,0,1,17,536,665,0,0.806015038,"(500, 1000]"
1,0,2,0,0,132,1,0,511,121354,176,0,689.5113636,
1,0,2,0,0,126,1,0,230,2284,130,0,17.56923077,"(1000, 5000]"
1,0,2,0,0,122,0,1,15,186,174,0,1.068965517,"(100, 200]"
1,0,2,0,0,138,0,1,980,687,1517,0,0.452867502,"(500, 1000]"
1,0.13,0,0,0,0,0,1,53,966,952,0,1.014705882,"(500, 1000]"
1,0,2,0,0,50,0,1,111,177,170,0,1.041176471,"(100, 200]"
1,0,2,0,0,35,0,0,719,744,967,0,0.769389866,"(500, 1000]"
1,0,2,0,0,56,1,0,1164,542073,674,0,804.2626113,
1,0.18,2,0,0,9,0,0,497,5315651,2703,0,1966.574547,
1,0.33,0,0,0,0,0,1,18,267,328,0,0.81402439,"(200, 500]"
1,0,2,0,0,81,0,0,50,691,680,0,1.016176471,"(500, 1000]"
1,0,2,0,0,134,0,1,74,120,112,0,1.071428571,"(100, 200]"
1,0,2,0,0,0,0,0,8,105,98,0,1.071428571,"(100, 200]"
1,0,0,0,0,2,0,0,7389,890969,11,0,80997.18182,
1,0,2,0,0,0,1,0,420,361853,583,0,620.6740995,
1,0,2,0,0,23,0,0,433,3678,1359,0,2.706401766,"(1000, 5000]"
1,0,2,0,0,138,1,0,156,92192,16,0,5762,
1,0,4,0,0,35,0,0,4494,12397719,8,0,1549714.875,
1,0,3,0,0,93,0,0,751,380510,0,0,0,
1,0,2,0,0,4,0,1,4,132,183,0,0.721311475,"(100, 200]"
1,0,2,0,0,1,0,1,27,162,208,0,0.778846154,"(100, 200]"
1,0,1,0,0,4,0,0,91,369,546,0,0.675824176,"(200, 500]"
1,0,0,0,0,23,0,0,262,1476,666,0,2.216216216,"(1000, 5000]"
1,0,3,0,0,91,1,0,274,1798,461,0,3.90021692,"(1000, 5000]"
1,0,2,0,0,57,0,0,271,2118,1109,0,1.909828674,"(1000, 5000]"
1,0,1,0,0,108,1,0,713,812,432,0,1.87962963,"(500, 1000]"
