Company,Product,TypeName,Inches,Ram,OS,Weight,Price_euros,Screen,ScreenW,ScreenH,Touchscreen,IPSpanel,RetinaDisplay,CPU_company,CPU_freq,CPU_model,PrimaryStorage,SecondaryStorage,PrimaryStorageType,SecondaryStorageType,GPU_company,GPU_model,Price_inr,Touchscreen_Flag,IPSpanel_Flag,Retina_Flag,Pixels,PPI_proxy,TotalStorage,CPU_brand,GPU_brand,OS_clean,Type_clean,PriceBand
Apple,MacBook Pro,Ultrabook,13.3,8,macOS,1.37,1339.69,Standard,2560,1600,No,Yes,Yes,Intel,2.3,Core i5,128,0,SSD,No,Intel,Iris Plus Graphics 640,147353,0,1,1,4096000,23155.63344,128,Intel,Intel,Macos,Ultrabook,Upper-Mid
Apple,Macbook Air,Ultrabook,13.3,8,macOS,1.34,898.94,Standard,1440,900,No,No,No,Intel,1.8,Core i5,128,0,Flash Storage,No,Intel,HD Graphics 6000,98874,0,0,0,1296000,7326.587145,128,Intel,Intel,Macos,Ultrabook,Mid
HP,250 G6,Notebook,15.6,8,No OS,1.86,575,Full HD,1920,1080,No,No,No,Intel,2.5,Core i5 7200U,256,0,SSD,No,Intel,HD Graphics 620,63244,0,0,0,2073600,8520.710059,256,Intel,Intel,No Os,Notebook,Mid
Apple,MacBook Pro,Ultrabook,15.4,16,macOS,1.83,2537.45,Standard,2880,1800,No,Yes,Yes,Intel,2.7,Core i7,512,0,SSD,No,AMD,Radeon Pro 455,279094,0,1,1,5184000,21858.66082,512,Intel,Amd,Macos,Ultrabook,Ultra
Apple,MacBook Pro,Ultrabook,13.3,8,macOS,1.37,1803.6,Standard,2560,1600,No,Yes,Yes,Intel,3.1,Core i5,256,0,SSD,No,Intel,Iris Plus Graphics 650,198378,0,1,1,4096000,23155.63344,256,Intel,Intel,Macos,Ultrabook,Premium
Acer,Aspire 3,Notebook,15.6,4,Windows 10,2.1,400,Standard,1366,768,No,No,No,AMD,3,A9-Series 9420,500,0,HDD,No,AMD,Radeon R5,43996,0,0,0,1049088,4310.848126,500,Amd,Amd,Windows 10,Notebook,Budget
Apple,MacBook Pro,Ultrabook,15.4,16,Mac OS X,2.04,2139.97,Standard,2880,1800,No,Yes,Yes,Intel,2.2,Core i7,256,0,Flash Storage,No,Intel,Iris Pro Graphics,235375,0,1,1,5184000,21858.66082,256,Intel,Intel,Macos,Ultrabook,Premium
Apple,Macbook Air,Ultrabook,13.3,8,macOS,1.34,1158.7,Standard,1440,900,No,No,No,Intel,1.8,Core i5,256,0,Flash Storage,No,Intel,HD Graphics 6000,127445,0,0,0,1296000,7326.587145,256,Intel,Intel,Macos,Ultrabook,Upper-Mid
Asus,ZenBook UX430UN,Ultrabook,14,16,Windows 10,1.3,1495,Full HD,1920,1080,No,No,No,Intel,1.8,Core i7 8550U,512,0,SSD,No,Nvidia,GeForce MX150,164435,0,0,0,2073600,10579.59184,512,Intel,Nvidia,Windows 10,Ultrabook,Upper-Mid
Acer,Swift 3,Ultrabook,14,8,Windows 10,1.6,770,Full HD,1920,1080,No,Yes,No,Intel,1.6,Core i5 8250U,256,0,SSD,No,Intel,UHD Graphics 620,84692,0,1,0,2073600,10579.59184,256,Intel,Intel,Windows 10,Ultrabook,Mid
